# light_verbs v1.0.0
# 最終更新: 2026-08-25
# 用途: 意味側チャネルの共起から除く軽動詞(F-13)。**測定器の設計であり研究の一部**。
# 変更は専用コミット(data: light_verbs vX.Y — 理由)で行い、感度分析を必ず実行する(F-14)。
# 根拠(実測 2026-08-25 / docs/concept.md §2 実測 7): これを除かないと
#   きらきら→為る(16) / そわそわ→為る(30) / ざらざら→為る(13) のように
#   意味を持たない軽動詞が係り先を支配する。除くと 光る・輝く・きらめく が立つ。
lemma	理由
為る	最も頻度が高い軽動詞。ほぼ全ての擬態語に付く
成る	状態変化の一般動詞。語固有の意味を持たない
居る	存在・継続の補助
有る	存在の一般動詞
遣る	行為の一般動詞
来る	移動の一般動詞かつ補助動詞
行く	移動の一般動詞かつ補助動詞
仕舞う	完了の補助動詞
出来る	可能の一般動詞
見る	知覚の一般動詞かつ試行の補助
言う	発話の一般動詞。引用構文で頻出
思う	心的態度の一般動詞。引用構文で頻出
成す	使役的な一般動詞
致す	為るの謙譲
下さる	授受の補助動詞
