# vocab_decisions v1.1.0
# 最終更新: 2026-08-25
# 判定基準: SPEC §4.2(curation 規範)
# 採用の根拠: 2026-08-25 の先行検証で用例・近傍を実見した語(docs/concept.md §11)
# 除外の根拠: 反復強調・程度の副詞で模写性がない。多くは漢字反復表記(色々・段々・益々)を持つ
# この表に無い語はエージェントが独断で採否を決めず needs_review に回す(AGENTS.md §2)
# v1.1.0 (2026-08-25): 保留語の採用提案 322 語を人間の承認を経て追加。除外提案25語とhold20語は据え置き
word	decision	reason
いじいじ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
いそいそ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
いらいら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
うかうか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
うきうき	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
うじうじ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
うずうず	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
うとうと	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
うねうね	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
うようよ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
うらうら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
うろうろ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
うんうん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
おずおず	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
おどおど	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
おろおろ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
おんおん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
かあかあ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
かくかく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
かさかさ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
かすかす	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
かたかた	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
かちかち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
かっかっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
かつかつ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
からから	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
かりかり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
があがあ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
